Paramset_Id,Iterations,Max_Calculation_Time,Dataset,Loop_Detection,Nmbr_Individuals,Nmbr_Generations,Prob_Mutation,Prob_Crossover,Pct_Elitism,Crossover_Type,Cust_Paramset_Description,Min_Last_Minimum_Tourlength,Max_Last_Minimum_Tourlength,Avg_Last_Minimum_Tourlength,StdDev_Last_Minimum_Tourlength,Min_Elapsed_Time,Max_Elapsed_Time,Avg_Elapsed_Time,StdDev_Elapsed_Time
0,30,5,BM2_xqf131_564.tsp,on,100,10000,45,15,5,xalt_edges,,773.498742171434,1013.7986069022,888.362002989865,55.7274864806849,5.0004,5.0294,5.01415,0.00869897932974393
1,30,60,BM2_xqf131_564.tsp,on,100,10000,45,15,5,xalt_edges,,585.309672133415,662.321167915978,619.115056791158,16.3055721640661,60.0028,60.0457,60.01857,0.010721333872238
2,30,3600,BM2_xqf131_564.tsp,on,100,10000,45,15,5,xalt_edges,,574.031879693924,639.247249509604,598.190497644965,13.5735823731263,74.9269,243.7687,140.697876666667,46.8431478050966
